Factor,FactorTypesExist,EncoderDecodersWork
IncrementalInference.FunctorSingletonNH,false,false
IncrementalInference.Obsv2,false,false
IncrementalInference.Prior,false,false
RoME.DynPoint2VelocityPrior,false,false
RoME.DynPose2VelocityPrior,false,false
RoME.PartialPriorRollPitchZ,false,false
RoME.PartialPriorYawPose2,false,false
RoME.PriorInertialPose3,false,false
RoME.PriorPoint2,false,false
RoME.PriorPose2,false,false
RoME.PriorPose3,false,false
IncrementalInference.FunctorPairwiseNH,false,false
IncrementalInference.GenericMarginal,false,false
IncrementalInference.LinearConditional,false,false
IncrementalInference.MixtureLinearConditional,false,false
IncrementalInference.Odo,false,false
IncrementalInference.Ranged,false,false
RoME.DynPoint2DynPoint2,false,false
RoME.DynPose2Pose2,false,false
RoME.InertialPose3,false,false
RoME.PartialPose3XYYaw,false,false
RoME.Point2Point2,false,false
RoME.Point2Point2WorldBearing,false,false
RoME.Pose2Point2Bearing,false,false
RoME.Pose2Point2BearingRange,true,false
RoME.Pose2Point2BearingRangeMH,false,false
RoME.Pose2Point2Range,false,false
RoME.Pose2Pose2,false,false
RoME.Pose3Pose3,false,false
RoME.LinearRangeBearingElevation,false,false
RoME.MultipleFeatures2D,false,false
RoME.Point2Point2Range,false,false
RoME.Point2Point2Velocity,false,false
RoME.VelPoint2VelPoint2,false,false
RoME.VelPose2VelPose2,false,false
